id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
98,Gladiator,en,5/4/00,8.2,18252,72.987,"[28, 18, 12]","['Action', 'Drama', 'Adventure']"
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,10/16/20,8.216,3883,94.386,"[28, 16, 12, 14, 53]","['Action', 'Animation', 'Adventure', 'Fantasy', 'Thriller']"
290098,The Handmaiden,ko,6/1/16,8.215,3676,53.843,"[53, 18, 10749]","['Thriller', 'Drama', 'Romance']"
694,The Shining,en,5/23/80,8.215,17257,57.475,"[27, 53]","['Horror', 'Thriller']"
354912,Coco,en,10/27/17,8.213,19185,172.557,"[10751, 16, 10402, 12]","['Family', 'Animation', 'Music', 'Adventure']"
50014,The Help,en,8/9/11,8.212,8154,88.941,[18],['Drama']
16672,Woman in the Dunes,ja,2/15/64,8.211,433,16.5,"[18, 53]","['Drama', 'Thriller']"
361743,Top Gun: Maverick,en,5/21/22,8.207,9024,123.43,"[28, 18]","['Action', 'Drama']"
37257,Witness for the Prosecution,en,12/17/57,8.204,1367,18.285,"[18, 9648, 80]","['Drama', 'Mystery', 'Crime']"
1124,The Prestige,en,10/17/06,8.2,15841,71.688,"[18, 9648, 878]","['Drama', 'Mystery', 'Science Fiction']"
284,The Apartment,en,6/21/60,8.204,2249,20.572,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
11324,Shutter Island,en,2/14/10,8.203,23729,78.703,"[18, 53, 9648]","['Drama', 'Thriller', 'Mystery']"
11,Star Wars,en,5/25/77,8.2,20415,86.631,"[12, 28, 878]","['Adventure', 'Action', 'Science Fiction']"
654299,Out of the Clear Blue Sky,es,12/24/19,8.202,341,12.909,"[35, 18, 10402]","['Comedy', 'Drama', 'Music']"
324786,Hacksaw Ridge,en,10/7/16,8.199,13564,121.76,"[18, 36, 10752]","['Drama', 'History', 'War']"
185,A Clockwork Orange,en,12/19/71,8.199,12713,46.368,"[878, 80]","['Science Fiction', 'Crime']"
522924,The Art of Racing in the Rain,en,8/8/19,8.198,1455,25.69,"[18, 10749]","['Drama', 'Romance']"
610892,Violet Evergarden: Eternity and the Auto Memory Doll,ja,9/6/19,8.197,361,15.176,"[18, 14, 16]","['Drama', 'Fantasy', 'Animation']"
556574,Hamilton,en,7/3/20,8.196,1383,15.88,"[36, 18]","['History', 'Drama']"
476292,Maquia: When the Promised Flower Blooms,ja,2/24/18,8.195,622,17.799,"[16, 14, 18, 12]","['Animation', 'Fantasy', 'Drama', 'Adventure']"
5156,Bicycle Thieves,it,7/21/48,8.195,2349,13.722,[18],['Drama']
490,The Seventh Seal,sv,2/16/57,8.2,2929,20.627,"[14, 18]","['Fantasy', 'Drama']"
313106,Doctor Who: The Day of the Doctor,en,11/23/13,8.191,743,10.135,"[878, 12]","['Science Fiction', 'Adventure']"
797,Persona,sv,10/18/66,8.184,2098,14.27,[18],['Drama']
629,The Usual Suspects,en,7/19/95,8.185,10248,26.099,"[18, 80, 53]","['Drama', 'Crime', 'Thriller']"
68718,Django Unchained,en,12/25/12,8.181,25990,51.929,"[18, 37]","['Drama', 'Western']"
26451,Investigation of a Citizen Above Suspicion,it,10/16/70,8.181,761,8.819,"[18, 53]","['Drama', 'Thriller']"
77,Memento,en,10/11/00,8.181,14694,28.081,"[9648, 53]","['Mystery', 'Thriller']"
592350,My Hero Academia: Heroes Rising,ja,12/20/19,8.179,1138,44.883,"[16, 28, 14, 12]","['Animation', 'Action', 'Fantasy', 'Adventure']"
92060,Michael Jackson's Thriller,en,11/14/83,8.178,666,12.115,"[27, 10402, 9648]","['Horror', 'Music', 'Mystery']"
20334,The Shop Around the Corner,en,1/12/40,8.178,704,17.888,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
10098,The Kid,en,1/21/21,8.2,2062,11.914,"[35, 18]","['Comedy', 'Drama']"
620683,My Mom Is a Character 3,pt,12/26/19,8.177,470,5.934,[35],['Comedy']
18148,Tokyo Story,ja,11/3/53,8.176,1027,17.103,[18],['Drama']
537061,Steven Universe: The Movie,en,10/7/19,8.2,772,22.465,"[10770, 16, 12, 35, 14, 10402]","['TV Movie', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Music']"
